"","x"
"CL0000192.952",99
"CL0000192.953",106
"CL0000192.954",99
"CL0000192.955",104
"CL0000192.956",100
"CL0000192.957",108
"CL0000192.958",104
"CL0000192.959",116
"CL0000192.960",106
"CL0000192.961",98
"CL0000192.962",100
"CL0000192.963",99
"CL0000192.964",99
"CL0000192.965",106
"CL0000192.966",99
"CL0000192.967",100
"CL0000192.968",110
"CL0000192.969",100
"CL0000192.970",99
"CL0000192.971",99
"CL0000192.972",98
"CL0000192.973",107
"CL0000192.974",99
"CL0000192.975",99
"CL0000192.976",105
"CL0000192.977",112
"CL0000192.978",109
"CL0000192.979",98
"CL0000192.980",106
"CL0000192.981",106
"CL0000192.982",106
"CL0000192.983",99
"CL0000192.984",99
"CL0000192.985",106
"CL0000192.986",106
"CL0000192.987",100
"CL0000192.988",98
"CL0000192.989",105
"CL0000192.990",106
"CL0000192.991",106
"CL0000192.992",99
"CL0000192.993",98
"CL0000192.994",99
"CL0000192.995",99
"CL0000192.996",101
"CL0000192.997",98
"CL0000192.998",109
"CL0000192.999",116
"CL0000192.1000",107
"CL0000192.1001",102
"CL0000192.1002",116
"CL0000192.1003",99
"CL0000192.1004",99
"CL0000192.1005",103
"CL0000192.1006",98
"CL0000192.1007",107
"CL0000192.1008",116
"CL0000192.1009",106
"CL0000192.1010",98
"CL0000192.1011",107
"CL0000192.1012",106
"CL0000192.1013",99
"CL0000192.1014",99
"CL0000192.1015",107
"CL0000192.1016",106
"CL0000192.1017",107
"CL0000192.1018",102
"CL0000192.1019",116
"CL0000192.1020",107
"CL0000192.1021",106
"CL0000192.1022",98
"CL0000192.1023",110
"CL0000192.1024",106
"CL0000192.1025",99
"CL0000192.1026",98
"CL0000192.1027",98
"CL0000192.1028",99
"CL0000192.1029",100
"CL0000192.1030",100
"CL0000192.1031",107
"CL0000192.1032",106
"CL0000192.1033",98
"CL0000192.1034",100
"CL0000192.1035",108
"CL0000192.1036",98
"CL0000192.1037",107
"CL0000192.1038",99
"CL0000192.1039",102
"CL0000192.1040",104
"CL0000192.1041",100
"CL0000192.1042",107
"CL0000192.1043",107
"CL0000192.1044",103
"CL0000192.1045",108
"CL0000192.1046",100
"CL0000192.1047",107
"CL0000192.1048",106
"CL0000192.1049",107
"CL0000192.1050",99
"CL0000192.1051",98
"CL0000192.1052",110
"CL0000192.1053",99
"CL0000192.1054",104
"CL0000192.1055",99
"CL0000192.1056",100
"CL0000192.1057",100
"CL0000192.1058",116
"CL0000192.1059",116
"CL0000192.1060",99
"CL0000192.1061",100
"CL0000192.1062",104
"CL0000192.1063",111
"CL0000192.1064",110
"CL0000192.1065",106
"CL0000192.1066",100
"CL0000192.1067",99
"CL0000192.1068",109
"CL0000192.1069",99
"CL0000192.1070",106
"CL0000192.1071",99
"CL0000192.1072",100
"CL0000192.1073",106
"CL0000192.1074",105
"CL0000192.1075",105
"CL0000192.1076",100
"CL0000192.1077",98
"CL0000192.1078",100
"CL0000192.1079",100
"CL0000192.1080",99
"CL0000192.1081",106
"CL0000192.1082",98
"CL0000192.1083",98
"CL0000192.1084",103
"CL0000192.1085",102
"CL0000192.1086",98
"CL0000192.1087",101
"CL0000192.1088",102
"CL0000192.1089",98
"CL0000192.1090",106
"CL0000192.1091",99
"CL0000192.1092",105
"CL0000192.1093",105
"CL0000192.1094",105
"CL0000192.1095",99
"CL0000192.1096",112
"CL0000192.1097",99
"CL0000192.1098",98
"CL0000192.1099",106
"CL0000192.1100",110
"CL0000192.1101",99
"CL0000192.1102",106
"CL0000192.1103",104
"CL0000192.1104",111
"CL0000192.1105",106
"CL0000192.1106",105
"CL0000192.1107",105
"CL0000192.1108",106
"CL0000192.1109",99
"CL0000192.1110",99
"CL0000192.1111",106
"CL0000192.1112",106
"CL0000192.1113",107
"CL0000192.1114",96
"CL0000192.1115",106
"CL0000192.1116",99
"CL0000192.1117",100
"CL0000192.1118",106
"CL0000192.1119",106
"CL0000192.1120",100
"CL0000192.1121",98
"CL0000192.1122",98
"CL0000192.1123",101
"CL0000192.1124",106
"CL0000192.1125",106
